                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 3.5189,                 3.3907,                  4.041,                0.00378,                0.91667,                0.16334,                0.04443,                  2.882,                 3.1242,                 4.0819,             0.00050105,             0.00050105,             0.00050105
                     57,                 2.9709,                 3.3224,                      4,                0.00383,                0.91667,                0.04276,                0.02065,                  2.883,                 3.1439,                 4.0811,             0.00049907,             0.00049907,             0.00049907
                     58,                 2.9504,                 3.1666,                 3.8361,                0.00383,                0.91667,                0.04276,                0.02065,                  2.883,                 3.1439,                 4.0811,              0.0004967,              0.0004967,              0.0004967
                     59,                 3.0803,                  3.214,                 3.9835,                0.00383,                0.91667,                0.04276,                0.02065,                  2.883,                 3.1439,                 4.0811,             0.00049393,             0.00049393,             0.00049393
                     60,                 2.9639,                 3.3036,                 3.9558,                0.00387,                0.91667,                0.04184,                0.03811,                 2.8837,                 3.1548,                 4.0784,             0.00049076,             0.00049076,             0.00049076
                     61,                 2.6373,                 3.3183,                    3.9,                0.00387,                0.91667,                0.04184,                0.03811,                 2.8837,                 3.1548,                 4.0784,              0.0004872,              0.0004872,              0.0004872
                     62,                 3.0089,                 3.2525,                 3.8828,                0.00387,                0.91667,                0.04184,                0.03811,                 2.8837,                 3.1548,                 4.0784,             0.00048324,             0.00048324,             0.00048324
                     63,                 3.1854,                 3.2876,                 3.8875,                0.00383,                0.91667,                0.15064,                0.04855,                 2.9033,                 3.1839,                 4.0989,             0.00047889,             0.00047889,             0.00047889
                     64,                 3.0903,                 3.1866,                 3.8299,                0.00383,                0.91667,                0.15064,                0.04855,                 2.9033,                 3.1839,                 4.0989,             0.00047414,             0.00047414,             0.00047414
                     65,                 3.0119,                  3.193,                 3.8485,                0.00383,                0.91667,                0.15064,                0.04855,                 2.9033,                 3.1839,                 4.0989,             0.00046899,             0.00046899,             0.00046899
                     66,                  2.934,                 3.0915,                 3.7931,                0.00385,                0.91667,                 0.0631,                0.01919,                 2.9085,                 3.1851,                 4.1084,             0.00046345,             0.00046345,             0.00046345
                     67,                 3.0581,                 3.5154,                 3.9133,                0.00385,                0.91667,                 0.0631,                0.01919,                 2.9085,                 3.1851,                 4.1084,             0.00045751,             0.00045751,             0.00045751
                     68,                 3.0369,                 3.3748,                 3.8516,                0.00385,                0.91667,                 0.0631,                0.01919,                 2.9085,                 3.1851,                 4.1084,             0.00045118,             0.00045118,             0.00045118
                     69,                 3.2128,                 3.4148,                 3.7878,                0.00394,                0.91667,                0.04505,                0.01306,                 2.9454,                 3.1397,                 4.1324,             0.00044445,             0.00044445,             0.00044445
